ESTACAO,lat,lon,lvl,week,precipitation_avg,precipitation_max
A601,-22.8,-43.68333333,33.0,201330,0.0857142857142857,0.2
A601,-22.8,-43.68333333,33.0,201331,0.0571428571428571,0.2
A601,-22.8,-43.68333333,33.0,201332,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201333,0.5428571428571428,3.8
A601,-22.8,-43.68333333,33.0,201334,0.1714285714285714,0.6
A601,-22.8,-43.68333333,33.0,201335,1.885714285714286,7.4
A601,-22.8,-43.68333333,33.0,201336,0.0,0.0
A601,-22.8,-43.68333333,33.0,201337,0.0571428571428571,0.4
A601,-22.8,-43.68333333,33.0,201338,0.0571428571428571,0.2
A601,-22.8,-43.68333333,33.0,201339,0.4571428571428572,1.8
A601,-22.8,-43.68333333,33.0,201340,0.1142857142857143,0.6
A601,-22.8,-43.68333333,33.0,201341,0.3999999999999999,1.8
A601,-22.8,-43.68333333,33.0,201342,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201343,0.0,0.0
A601,-22.8,-43.68333333,33.0,201344,0.8,3.2
A601,-22.8,-43.68333333,33.0,201345,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201346,3.8857142857142857,12.0
A601,-22.8,-43.68333333,33.0,201347,5.571428571428571,12.4
A601,-22.8,-43.68333333,33.0,201348,4.314285714285714,17.4
A601,-22.8,-43.68333333,33.0,201349,3.2,12.8
A601,-22.8,-43.68333333,33.0,201350,1.3714285714285714,7.4
A601,-22.8,-43.68333333,33.0,201351,0.1999999999999999,1.0
A601,-22.8,-43.68333333,33.0,201352,7.466666666666666,20.2
A601,-22.8,-43.68333333,33.0,201400,0.85,2.6
A601,-22.8,-43.68333333,33.0,201401,0.0,0.0
A601,-22.8,-43.68333333,33.0,201402,3.8285714285714287,20.8
A601,-22.8,-43.68333333,33.0,201403,0.3999999999999999,2.8
A601,-22.8,-43.68333333,33.0,201404,0.0,0.0
A601,-22.8,-43.68333333,33.0,201405,0.0,0.0
A601,-22.8,-43.68333333,33.0,201406,6.628571428571428,46.4
A601,-22.8,-43.68333333,33.0,201407,9.085714285714284,27.6
A601,-22.8,-43.68333333,33.0,201408,1.0857142857142856,7.6
A601,-22.8,-43.68333333,33.0,201409,6.171428571428572,41.6
A601,-22.8,-43.68333333,33.0,201410,0.3999999999999999,2.4
A601,-22.8,-43.68333333,33.0,201411,1.5714285714285714,4.6
A601,-22.8,-43.68333333,33.0,201412,4.171428571428572,22.6
A601,-22.8,-43.68333333,33.0,201413,1.0285714285714287,5.4
A601,-22.8,-43.68333333,33.0,201414,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201415,2.4,7.8
A601,-22.8,-43.68333333,33.0,201416,1.9142857142857144,10.8
A601,-22.8,-43.68333333,33.0,201417,0.6571428571428573,4.2
A601,-22.8,-43.68333333,33.0,201418,0.3999999999999999,1.6
A601,-22.8,-43.68333333,33.0,201419,0.2285714285714286,0.6
A601,-22.8,-43.68333333,33.0,201420,0.3999999999999999,1.4
A601,-22.8,-43.68333333,33.0,201421,1.0285714285714285,4.6
A601,-22.8,-43.68333333,33.0,201422,0.3142857142857143,1.8
A601,-22.8,-43.68333333,33.0,201423,1.1714285714285717,6.4
A601,-22.8,-43.68333333,33.0,201424,0.6857142857142857,2.4
A601,-22.8,-43.68333333,33.0,201425,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201426,0.0857142857142857,0.2
A601,-22.8,-43.68333333,33.0,201427,2.2,10.0
A601,-22.8,-43.68333333,33.0,201428,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201429,0.3428571428571428,1.2
A601,-22.8,-43.68333333,33.0,201430,0.8857142857142858,3.8
A601,-22.8,-43.68333333,33.0,201431,0.5714285714285714,2.6
A601,-22.8,-43.68333333,33.0,201432,0.9142857142857144,5.8
A601,-22.8,-43.68333333,33.0,201433,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201434,0.5142857142857143,3.2
A601,-22.8,-43.68333333,33.0,201435,1.0857142857142856,5.6
A601,-22.8,-43.68333333,33.0,201436,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201437,0.1714285714285714,1.0
A601,-22.8,-43.68333333,33.0,201438,1.0285714285714287,5.4
A601,-22.8,-43.68333333,33.0,201439,0.5142857142857143,2.6
A601,-22.8,-43.68333333,33.0,201440,0.0,0.0
A601,-22.8,-43.68333333,33.0,201441,0.0,0.0
A601,-22.8,-43.68333333,33.0,201442,1.2,5.0
A601,-22.8,-43.68333333,33.0,201443,0.8571428571428571,3.6
A601,-22.8,-43.68333333,33.0,201444,0.3428571428571428,2.0
A601,-22.8,-43.68333333,33.0,201445,2.1714285714285717,7.0
A601,-22.8,-43.68333333,33.0,201446,0.7142857142857143,2.8
A601,-22.8,-43.68333333,33.0,201447,3.2857142857142856,12.0
A601,-22.8,-43.68333333,33.0,201448,2.0571428571428574,13.6
A601,-22.8,-43.68333333,33.0,201449,1.9428571428571428,12.6
A601,-22.8,-43.68333333,33.0,201450,0.8571428571428571,3.4
A601,-22.8,-43.68333333,33.0,201451,2.8,9.2
A601,-22.8,-43.68333333,33.0,201452,2.75,10.2
A601,-22.8,-43.68333333,33.0,201500,0.2,0.4
A601,-22.8,-43.68333333,33.0,201501,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201502,0.0,0.0
A601,-22.8,-43.68333333,33.0,201503,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201504,0.1714285714285714,1.2
A601,-22.8,-43.68333333,33.0,201505,5.171428571428571,21.4
A601,-22.8,-43.68333333,33.0,201506,3.257142857142857,12.8
A601,-22.8,-43.68333333,33.0,201507,0.9714285714285714,4.0
A601,-22.8,-43.68333333,33.0,201508,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201509,0.0571428571428571,0.2
A601,-22.8,-43.68333333,33.0,201510,0.1,0.2
A601,-22.8,-43.68333333,33.0,201511,,
A601,-22.8,-43.68333333,33.0,201512,,
A601,-22.8,-43.68333333,33.0,201513,0.12,0.2
A601,-22.8,-43.68333333,33.0,201514,0.3999999999999999,2.0
A601,-22.8,-43.68333333,33.0,201515,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201516,0.9142857142857144,5.2
A601,-22.8,-43.68333333,33.0,201517,0.4857142857142857,1.8
A601,-22.8,-43.68333333,33.0,201518,1.6571428571428573,5.8
A601,-22.8,-43.68333333,33.0,201519,1.0,3.6
A601,-22.8,-43.68333333,33.0,201520,0.0571428571428571,0.4
A601,-22.8,-43.68333333,33.0,201521,0.1428571428571428,0.8
A601,-22.8,-43.68333333,33.0,201522,0.4285714285714285,2.0
A601,-22.8,-43.68333333,33.0,201523,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201524,1.742857142857143,9.8
A601,-22.8,-43.68333333,33.0,201525,0.6,2.0
A601,-22.8,-43.68333333,33.0,201526,0.0,0.0
A601,-22.8,-43.68333333,33.0,201527,0.1428571428571428,1.0
A601,-22.8,-43.68333333,33.0,201528,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201529,0.3714285714285714,1.6
A601,-22.8,-43.68333333,33.0,201530,0.0857142857142857,0.2
A601,-22.8,-43.68333333,33.0,201531,0.0,0.0
A601,-22.8,-43.68333333,33.0,201532,0.0,0.0
A601,-22.8,-43.68333333,33.0,201533,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201534,0.3142857142857143,1.8
A601,-22.8,-43.68333333,33.0,201535,0.9714285714285714,3.8
A601,-22.8,-43.68333333,33.0,201536,2.1142857142857143,8.0
A601,-22.8,-43.68333333,33.0,201537,0.5428571428571428,2.8
A601,-22.8,-43.68333333,33.0,201538,0.0,0.0
A601,-22.8,-43.68333333,33.0,201539,2.2,8.4
A601,-22.8,-43.68333333,33.0,201540,1.0571428571428572,6.6
A601,-22.8,-43.68333333,33.0,201541,0.0,0.0
A601,-22.8,-43.68333333,33.0,201542,0.6,2.4
A601,-22.8,-43.68333333,33.0,201543,0.6,1.8
A601,-22.8,-43.68333333,33.0,201544,3.0571428571428574,9.6
A601,-22.8,-43.68333333,33.0,201545,0.5142857142857143,3.2
A601,-22.8,-43.68333333,33.0,201546,0.4285714285714285,1.0
A601,-22.8,-43.68333333,33.0,201547,4.171428571428572,26.4
A601,-22.8,-43.68333333,33.0,201548,2.4285714285714284,9.2
A601,-22.8,-43.68333333,33.0,201549,4.571428571428571,20.4
A601,-22.8,-43.68333333,33.0,201550,6.371428571428571,35.8
A601,-22.8,-43.68333333,33.0,201551,0.9428571428571428,6.6
A601,-22.8,-43.68333333,33.0,201552,0.8800000000000001,2.2
A601,-22.8,-43.68333333,33.0,201600,2.9,3.4
A601,-22.8,-43.68333333,33.0,201601,0.2285714285714285,1.4
A601,-22.8,-43.68333333,33.0,201602,5.971428571428571,21.4
A601,-22.8,-43.68333333,33.0,201603,2.8000000000000003,5.2
A601,-22.8,-43.68333333,33.0,201604,0.2571428571428572,1.8
A601,-22.8,-43.68333333,33.0,201605,0.0,0.0
A601,-22.8,-43.68333333,33.0,201606,3.942857142857143,15.8
A601,-22.8,-43.68333333,33.0,201607,14.285714285714286,37.2
A601,-22.8,-43.68333333,33.0,201608,0.9428571428571428,4.6
A601,-22.8,-43.68333333,33.0,201609,1.6285714285714286,7.4
A601,-22.8,-43.68333333,33.0,201610,0.2857142857142857,1.0
A601,-22.8,-43.68333333,33.0,201611,1.0571428571428572,3.4
A601,-22.8,-43.68333333,33.0,201612,3.142857142857143,9.2
A601,-22.8,-43.68333333,33.0,201613,0.0571428571428571,0.4
A601,-22.8,-43.68333333,33.0,201614,0.0,0.0
A601,-22.8,-43.68333333,33.0,201615,0.0,0.0
A601,-22.8,-43.68333333,33.0,201616,0.0,0.0
