week,predicted_precipitation_avg,predicted_precipitation_max,CITY
201201,4.805544330657701,18.77624305085709,Angra Dos Reis
201202,3.920505700116567,17.470858370109926,Angra Dos Reis
201203,1.5315518965954427,2.6794312819111523,Angra Dos Reis
201204,1.4004411909637149,5.904802772424165,Angra Dos Reis
201205,1.5285242645316943,5.355990325441519,Angra Dos Reis
201206,3.8235973955739624,26.047378879580265,Angra Dos Reis
201207,4.3866943889186985,30.91449193271459,Angra Dos Reis
201208,0.5094958880627958,3.533365468134538,Angra Dos Reis
201209,0.8173403697396405,3.8688322557339703,Angra Dos Reis
201210,0.4036512472649185,3.019909361157442,Angra Dos Reis
201211,2.49085390800766,11.466648588274921,Angra Dos Reis
201212,2.560087943140088,11.845282862071825,Angra Dos Reis
201213,2.658340028880664,13.430595379570502,Angra Dos Reis
201214,0.8428693172627337,5.101835149941341,Angra Dos Reis
201215,0.530186829587311,2.743895261473994,Angra Dos Reis
201216,1.7161549852686344,8.88355944001843,Angra Dos Reis
201217,1.0782546263368529,5.488992110090033,Angra Dos Reis
201218,2.3765547205107973,8.437021529713114,Angra Dos Reis
201219,0.2218097988101546,1.2365789238374572,Angra Dos Reis
201220,2.353247206365673,8.788208189657668,Angra Dos Reis
201221,0.12954281199621362,0.5774627583493931,Angra Dos Reis
201222,1.429952727456676,7.886392906829742,Angra Dos Reis
201223,1.507597930995767,9.738814320742565,Angra Dos Reis
201224,1.0657574300949288,6.19287339508664,Angra Dos Reis
201225,1.412506574717023,5.957497374284654,Angra Dos Reis
201226,0.2838062408933797,1.63715666454557,Angra Dos Reis
201227,0.03741808631214072,0.057838187948904246,Angra Dos Reis
201228,1.2178175911406597,6.530247946091962,Angra Dos Reis
201229,0.8547117183588356,3.412233240359395,Angra Dos Reis
201230,0.07948389833786818,0.37401621789941575,Angra Dos Reis
201231,0.20890951100487457,1.2506425743585186,Angra Dos Reis
201232,0.9100324135099298,4.797704475632747,Angra Dos Reis
201233,0.15896130820965948,0.6997769986936437,Angra Dos Reis
201234,0.006751960246440758,0.07485845642033984,Angra Dos Reis
201235,0.48091898135342376,2.704014508870705,Angra Dos Reis
201236,0.3354461033512801,2.1625200643422904,Angra Dos Reis
201237,0.3795989305013549,2.2863835232705974,Angra Dos Reis
201238,1.7308537537666262,9.238453492111164,Angra Dos Reis
201239,1.62106352138638,7.494371663619818,Angra Dos Reis
201240,0.009313824108287794,0.04215435428353259,Angra Dos Reis
201241,1.5264671136271706,6.276899593231808,Angra Dos Reis
201242,1.228121758815671,4.018758349500345,Angra Dos Reis
201243,2.343574886867111,8.02587973029066,Angra Dos Reis
201244,0.4497956100972852,1.858248091475394,Angra Dos Reis
201245,0.8409814224339434,2.804698981668591,Angra Dos Reis
201246,2.949232485067482,10.223366687945969,Angra Dos Reis
201247,1.2906090314781935,7.557544614071728,Angra Dos Reis
201248,3.279739343722127,13.475935235633413,Angra Dos Reis
201249,0.699843681917147,4.242290022221565,Angra Dos Reis
201250,3.0551680190189585,12.363193222485503,Angra Dos Reis
201251,1.1009394278394877,3.591757835973889,Angra Dos Reis
201252,0.11288513614313303,1.0785944786930783,Angra Dos Reis
201253,2.908333968368044,5.465940754266619,Angra Dos Reis
201300,2.578274277026422,8.518294964863333,Angra Dos Reis
201301,3.3421798627257377,14.821970297927134,Angra Dos Reis
201302,5.934936595616586,21.76065997816517,Angra Dos Reis
201303,3.555068658165281,14.763849717404831,Angra Dos Reis
201304,0.9868210808468332,0.5408545433546017,Angra Dos Reis
201305,3.3167489406666313,9.695685552489751,Angra Dos Reis
201306,-0.035080898134530504,-0.18305756542107496,Angra Dos Reis
201307,-0.04368499535349632,0.0796084716597818,Angra Dos Reis
201308,2.5681848622775307,8.716930481394726,Angra Dos Reis
201309,4.128830087876231,18.235371268081828,Angra Dos Reis
201310,3.621082309663564,15.28095410005951,Angra Dos Reis
201311,4.277418459212627,16.94307262773515,Angra Dos Reis
201312,3.07217914638193,11.780256891648218,Angra Dos Reis
201313,2.5055271493518805,12.842568383517209,Angra Dos Reis
201314,1.6616413993884311,8.178533639061454,Angra Dos Reis
201315,0.43508106138708064,2.5804060812003793,Angra Dos Reis
201316,0.2563488660227751,1.4140946956660203,Angra Dos Reis
201317,0.053904755321510595,0.14632387924227824,Angra Dos Reis
201318,0.4461218551241561,2.470524794533824,Angra Dos Reis
201319,1.1778780717821256,7.0751951321566775,Angra Dos Reis
201320,1.5250511324534841,6.690165806460811,Angra Dos Reis
201321,1.1161538660140449,3.8134590348827504,Angra Dos Reis
201322,1.5377481276446232,6.756087907490949,Angra Dos Reis
201323,0.6673618714496334,4.035651012901326,Angra Dos Reis
201324,0.06888489202516919,0.3070540119521676,Angra Dos Reis
201325,0.37453324477140293,2.111794735130611,Angra Dos Reis
201326,1.2444837329497838,6.867224912604723,Angra Dos Reis
201327,0.754291111744821,3.3834967309334067,Angra Dos Reis
201328,1.3535963402686604,6.498467332948916,Angra Dos Reis
201329,1.8751307902999974,7.265861499018806,Angra Dos Reis
201330,0.04731343529545605,0.1179088806395923,Angra Dos Reis
201331,0.02262670154327145,0.12917974942222502,Angra Dos Reis
201332,0.28994341569505616,1.6761734401033204,Angra Dos Reis
201333,0.5174312316427442,2.964043027774283,Angra Dos Reis
201334,0.05312492703284033,0.254155542593963,Angra Dos Reis
201335,1.1011530328870476,4.6764506664425864,Angra Dos Reis
201336,0.06287262065935013,0.2302523581851217,Angra Dos Reis
201337,0.319872044074097,1.687228876007945,Angra Dos Reis
201338,0.9118915718449088,3.704804580455539,Angra Dos Reis
