week,precipitation_avg,precipitation_max,CITY
201201,5.413333333333331,18.29333333333334,Angra Dos Reis
201202,4.0323809558736246,16.97333333333333,Angra Dos Reis
201203,2.0024828403277706,4.826666666666671,Angra Dos Reis
201204,1.546977750210292,6.032026072040153,Angra Dos Reis
201205,2.4059338351383874,8.091102093869091,Angra Dos Reis
201206,3.8215036748478926,26.014070829206105,Angra Dos Reis
201207,4.097945768699782,29.07999611600672,Angra Dos Reis
201208,0.6265306122459667,4.257142857142861,Angra Dos Reis
201209,0.814427926222582,3.84590422866026,Angra Dos Reis
201210,1.076923076923077,4.999999999999997,Angra Dos Reis
201211,3.989010989021765,15.384615384615403,Angra Dos Reis
201212,3.6923076923076867,15.299913436674688,Angra Dos Reis
201213,2.6136618447557067,13.546456421079956,Angra Dos Reis
201214,2.718681318681317,14.169230769230763,Angra Dos Reis
201215,0.7938095238095237,3.9333333333333282,Angra Dos Reis
201216,2.0607142857224696,9.612499999999997,Angra Dos Reis
201217,1.107142857142857,5.325000000000005,Angra Dos Reis
201218,2.7151785714285714,8.824575138219396,Angra Dos Reis
201219,0.25170820212733347,1.1747151772060918,Angra Dos Reis
201220,2.2146174474516838,7.773333333333328,Angra Dos Reis
201221,0.17440476190469445,0.775,Angra Dos Reis
201222,1.3057939128395741,7.129999680520427,Angra Dos Reis
201223,1.4525257063119594,8.13749999999997,Angra Dos Reis
201224,1.109718951473939,6.583784513090791,Angra Dos Reis
201225,1.907795344863249,9.558230495196433,Angra Dos Reis
201226,0.24571430089202184,1.2799999999999971,Angra Dos Reis
201227,0.06027493760122986,0.09952407791991265,Angra Dos Reis
201228,1.6204081632751424,7.22857142857142,Angra Dos Reis
201229,0.8361904762144274,3.5466666666666655,Angra Dos Reis
201230,0.09345238095238241,0.40000000582065487,Angra Dos Reis
201231,0.1882300116933442,1.0957582779026833,Angra Dos Reis
201232,1.1142857142857143,5.425000000000005,Angra Dos Reis
201233,0.17070637274272682,0.7626227789768121,Angra Dos Reis
201234,-0.004435895032343432,0.0431030200238983,Angra Dos Reis
201235,0.6553571414727296,3.2499999999999996,Angra Dos Reis
201236,0.34821428576855773,2.2375000000532914,Angra Dos Reis
201237,0.38000451873662494,2.2362690976032322,Angra Dos Reis
201238,1.7214285658701332,8.524999999999988,Angra Dos Reis
201239,1.7303571428571438,8.637500000000218,Angra Dos Reis
201240,0.01785714285688375,0.06249687651014299,Angra Dos Reis
201241,1.705104252457339,7.337500002119752,Angra Dos Reis
201242,1.226913908735159,4.038065404678089,Angra Dos Reis
201243,2.4522615306180104,9.227720101178102,Angra Dos Reis
201244,0.5188552746685463,1.9322630906315799,Angra Dos Reis
201245,1.3178571428571424,4.012500000000003,Angra Dos Reis
201246,3.1602099690871803,10.739408421888214,Angra Dos Reis
201247,1.407619047619048,8.013333333333339,Angra Dos Reis
201248,3.228905733527671,12.933333333333332,Angra Dos Reis
201249,1.8628571428571408,8.813333333333341,Angra Dos Reis
201250,3.3869031492037283,12.55186264163655,Angra Dos Reis
201251,2.346428571428572,10.275000000000015,Angra Dos Reis
201252,0.9636904761904762,5.062500000000001,Angra Dos Reis
201253,3.3066666666666658,5.546666666666677,Angra Dos Reis
201300,4.702564606388559,13.300155569917852,Angra Dos Reis
201301,3.3734017647722663,14.814173040646958,Angra Dos Reis
201302,6.864720281964147,22.899999999999977,Angra Dos Reis
201303,3.800000000118265,14.157142857142865,Angra Dos Reis
201304,2.6637011001445163,0.41032486419552083,Angra Dos Reis
201305,3.8666744227901186,11.763594296699578,Angra Dos Reis
201306,0.15714285714286652,0.542857142857144,Angra Dos Reis
201307,0.43061224489795913,1.9857142857142822,Angra Dos Reis
201308,3.2026785714285726,10.7625,Angra Dos Reis
201309,4.496188640009007,18.802956271559456,Angra Dos Reis
201310,3.7222328664022837,15.625112650394053,Angra Dos Reis
201311,5.373333333333453,21.36021412012508,Angra Dos Reis
201312,3.3980952380952383,11.573333333333327,Angra Dos Reis
201313,2.449999999999997,12.225000000000009,Angra Dos Reis
201314,1.752680135024063,8.15191031943979,Angra Dos Reis
201315,0.839999999999853,4.933333333333338,Angra Dos Reis
201316,0.31619047619047624,1.4712131446963492,Angra Dos Reis
201317,0.06095238095114369,0.16001011581386754,Angra Dos Reis
201318,0.5017857142870498,2.5625,Angra Dos Reis
201319,1.2678571428571426,7.637500000000004,Angra Dos Reis
201320,1.518530245854623,6.151759709867779,Angra Dos Reis
201321,1.3520914181465962,5.680942880297245,Angra Dos Reis
201322,1.7600000000000011,7.959999999999932,Angra Dos Reis
201323,0.5944834333337718,3.4584992843957423,Angra Dos Reis
201324,0.09333333333311501,0.4000000145613193,Angra Dos Reis
201325,0.48952380952459407,2.546666666666669,Angra Dos Reis
201326,1.3785714285714394,7.112500000006808,Angra Dos Reis
201327,0.778631498754685,3.7124262981432894,Angra Dos Reis
201328,1.3339285714285702,6.325000000000013,Angra Dos Reis
201329,1.8624157004103716,7.209752090932554,Angra Dos Reis
201330,0.05177507482097863,0.13408372832994334,Angra Dos Reis
201331,0.02732813034615822,0.13131338392766048,Angra Dos Reis
201332,0.413333333333337,2.1466666666666665,Angra Dos Reis
201333,0.46591516732763144,2.3908400269074868,Angra Dos Reis
201334,0.043901086720517284,0.18264770004222625,Angra Dos Reis
201335,1.177142857197763,4.986666666666669,Angra Dos Reis
201336,0.08190476190475879,0.24089023169241644,Angra Dos Reis
201337,0.34143583184806997,1.7477881712332706,Angra Dos Reis
201338,0.9234631545099128,3.84575925965357,Angra Dos Reis
